
6月 21, 2018 15:31:14.29 NEW SESSION
6月 21, 2018 15:31:14.29 [5376:4992:0621/153114.287:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.310:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.311:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.311:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.311:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.311:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.311:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 15:31:14.31 [5376:2816:0621/153114.311:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.

6月 21, 2018 19:05:41.92 NEW SESSION
6月 21, 2018 19:05:41.92 [10956:1808:0621/190541.920:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
6月 21, 2018 19:05:41.95 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:05:41.95 [10956:7016:0621/190541.957:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
